context,from,to,weight
wear-purple-for-jia-2018,foomooboo,Ed_Miliband,1
dry-january-2018,kellyld77,DrinkTg,1
mnd-awareness-month-2018,charitybegin3,MNDAEastSussex,1
ocd-awareness-week-2018,janinak_artwork,lwbean,1
elf-day,ramsdensburnco,JodieRamsdens,1
national-dyslexia-week-2018,sunnyside_judy,DyslexiaAssist,1
mens-health-week-2018,adventurousfolk,aimsonhealth,1
mens-health-week-2018,coolmentoring,SpunOut,1
mens-health-week-2018,healthworksbc,VCHhealthcare,1
mnd-awareness-month-2018,sproz21,MNDeventsPlym,1
ocd-awareness-week-2018,wubling_k,lwbean,1
brain-injury-week-2018,nwfollowers,ThorntonSciPark,1
carers-week-2018,avrildrummond1,HappyLittleHugh,1
16-days-of-action-2018,annadjinn,LDNVictimsComm,1
eating-disorder-awareness-week-2018,littleowly,allontheboard,1
national-dementia-carers-2018,luvselefantes,emmabraz01,1
mens-health-week-2018,1uponcancer,AmericanCancer,1
experience-of-care-week-2018,helenkaragio,LeanneWells63,1
16-days-of-action-2018,sdinnovation,intertwilight,1
stress-awareness-day,anniecamb,Museum_Wellness,1
no-smoking-day-2018,archibonggc,DrTedros,1
jeans-for-genes-day,nicolewilson133,AtkinsBland,1
cervical-cancer-prevention-week-2018,clairestoneman,EnableLaw,1
national-dementia-carers-2018,hywelddachc,CareQualityComm,1
national-dyslexia-week-2018,readingsp,TheLifeDyslexic,1
16-days-of-action-2018,cathyholtmann,SayNO_UNiTE,1
national-dementia-carers-2018,radioglamorgan,DementiaUK,1
dementia-action-week-2018,youchooseaname,gbtpo,1
ovarian-cancer-awareness-month-2018,matisoosmith,GeneticsOtago,1
brain-injury-week-2018,woodyonemanband,TrulyRoo,1
jeans-for-genes-day,baestyles_,MrsAnneTwist,2
no-smoking-day-2018,ththighland,IC_UHI,1
mental-health-awareness-week-2018,littleduckie80,JamesMelville,1
rare-disease-day-2018,theibta,gliomaregistry,1
no-smoking-day-2018,ruthjfj,cooppharmacy,1
jeans-for-genes-day,preet_aggerwall,CentreoftheCell,1
ocd-awareness-week-2018,buperduper,lwbean,1
eating-disorder-awareness-week-2018,rebecca_macl,beatED,2
dry-january-2018,eilstaypositive,31DOVER,1
carers-week-2018,portland06,NHSEngland,1
nutrition-and-hydration-week-2018,ucdperinatal,eileenobrienRD,1
carers-week-2018,carer49,gallusgirl,1
mental-health-awareness-week-2018,bbiss666,Unchargeables,1
16-days-of-action-2018,nosiphomakhakhe,UN_Women,1
epilepsy-awareness-purple-day-2018,ange_j_30,gblagden,1
stress-awareness-day,wiredraz,Jemma_Barratt,1
16-days-of-action-2018,de_plazza,theIRC,1
16-days-of-action-2018,taxidiwtis,UNHCRGreece,1
rare-disease-day-2018,libpooler,CDCgov,1
jeans-for-genes-day,hstudyrainbowsx,MrsAnneTwist,1
no-smoking-day-2018,kcbelfast,cooperspharmacy,1
cervical-cancer-prevention-week-2018,drevemrembo,DrAhmedKalebi,1
nutrition-and-hydration-week-2018,butterflybeach1,SaltsMedilink,1
dry-january-2018,christydh,ManxRadio,1
time-to-talk-day-2018,lisamun,MediaComUK,1
elf-day,tweetyouuk,RinginglowArrow,1
time-to-talk-day-2018,sheldonbarbie,ZoeSugg,1
ocd-awareness-week-2018,ziggbot,lwbean,1
stress-awareness-day,juliew17,Edu_Broker,1
rare-disease-day-2018,kimasteele,BoehringerCA,1
cervical-cancer-prevention-week-2018,annmh84,med_indonews,1
cervical-cancer-prevention-week-2018,selbyhealthcare,ValeofYorkCCG,1
national-dyslexia-week-2018,monetmarcellaa,MrWorkSmarter,1
mnd-awareness-month-2018,susanevans73,alex_morty,1
nutrition-and-hydration-week-2018,mynameisandyj,rosalind2412,1
national-dyslexia-week-2018,lauren220992,thinkpix_suze,1
16-days-of-action-2018,rachelnsexton,UN_Women,1
stress-awareness-day,wdcuera,natlibscot,1
national-dementia-carers-2018,memorylanea2,alzheimerssoc,1
national-dementia-carers-2018,karen411634861,alzheimerssoc,1
ocd-awareness-week-2018,marcubey,lwbean,1
stress-awareness-day,usciencesshac,heads_together,1
ovarian-cancer-awareness-month-2018,sandsrachel,NHSEngland,1
16-days-of-action-2018,miyadiop,Doyna_sn,1
national-dyslexia-week-2018,onedavidfletch,Secretsend2,1
nutrition-and-hydration-week-2018,mynameisandyj,danielleroisin_,1
experience-of-care-week-2018,alevine014,NiswongerCHosp,1
no-smoking-day-2018,phe_eastmids,myvisionmatters,1
ocd-awareness-week-2018,saharwby,lwbean,1
time-to-talk-day-2018,heatherbowes7,WriterJen19,1
16-days-of-action-2018,nancyehanna,UKUN_NewYork,1
national-dementia-carers-2018,jenbradley10,alzheimerssoc,1
wear-purple-for-jia-2018,louisestilgoe,Ed_Miliband,1
stress-awareness-day,ngaioanyia,1Xtra,1
national-dyslexia-week-2018,rohanslaughter,Jisc,1
ocd-awareness-week-2018,literallypr,CharitySANE,1
